N, SortStr, Year, Month, Day, Nick, Added, Text
196, 01_30_2002, 2002, 01, 30, n/a, 1175318371, День помощи больным проказой
197, 01_30_2003, 2003, 01, 30, n/a, 1175318371, День рождения Фраклина Делано Рузвельта (1882)
198, 01_30_2003, 2003, 01, 30, n/a, 1175318371, День гибели Махатмы Ганди (1948)
199, 01_30_2007, 2007, 01, 30, n/a, 1175318371, Всемирный день помощи больным проказой
200, 01_30_2007, 2007, 01, 30, n/a, 1175318371, День памяти борцов за независимость в Индии.
201, 01_30_2007, 2007, 01, 30, n/a, 1175318371, День преподобного Антония Великого, основателя пустынножительства
202, 01_30_2007, 2007, 01, 30, n/a, 1175318371, Осуществлен запуск первого в мире радиозонда для исследования атмосферы, изобретенного советским метеорологом Павлом Александровичем Молчановым (1930)
203, 01_30_2009, 2009, 01, 30, antihome, 1233352165, День рождения русской водки
204, 01_31_0065, 0065, 01, 31, ncuxonycbka, 1517396781, День русской водки - Д.И.Менделеев защитил докторскую диссертацию `О соединении спирта с водою`
205, 01_31_2003, 2003, 01, 31, n/a, 1175318371, В 1939 году создана фирма Hewlett-Paccard
206, 01_31_2003, 2003, 01, 31, n/a, 1175318371, Америкосы запустили в космос обезьяну (1961)
207, 01_31_2003, 2003, 01, 31, n/a, 1175318371, Петр I создал кунсткамеру (1714)
208, 01_31_2007, 2007, 01, 31, n/a, 1175318371, Афанасий Ломонос — береги щёки и нос
209, 01_31_2007, 2007, 01, 31, n/a, 1175318371, Национальный праздник Республики Науру — День Независимости
210, 01_31_2007, 2007, 01, 31, n/a, 1175318371, Новый год по мусульманскому календарю по хиджре
211, 01_31_2007, 2007, 01, 31, n/a, 1175318371, День святителей Афанасия и Кирилла
212, 01_31_2007, 2007, 01, 31, n/a, 1175318371, Запущен «Эксплорер-1», первый американский спутник (1958)
213, 01_31_2007, 2007, 01, 31, n/a, 1175318371, Легализация гомосексуальных браков в Бельгии (2003)
214, 01_31_2007, 2007, 01, 31, n/a, 1175318371, В США скончался сценарист и автор женских романов Сидни Шелдон (2007)
215, 02_01_2007, 2007, 02, 01, n/a, 1175318371, Макарьев день. Ясный солнечный Макарьев день — к ранней весне
216, 02_01_2007, 2007, 02, 01, n/a, 1175318371, Национальный день свободы в США
217, 02_01_2007, 2007, 02, 01, n/a, 1175318371, День эвакуации в Алжире.
218, 02_01_2007, 2007, 02, 01, n/a, 1175318371, День преподобного Макария Великого, преподобных Макария Печерского, Макария Римлянина, Макария Александрийского
219, 02_01_2007, 2007, 02, 01, n/a, 1175318371, Опубликовано первое издание Оксфордского словаря английского языка (1884)
220, 02_01_2007, 2007, 02, 01, n/a, 1175318371, Провозглашение Венгрии республикой (1946)
221, 02_01_2007, 2007, 02, 01, n/a, 1175318371, При заходе на посадку на космодром на мысе Канаверал (штат Флорида) взорвался американский шаттл «Колумбия», погибли все семь членов экипажа, в том числе первый израильский космонавт Илан Рамон (2003)
222, 02_02_1943, 1943, 02, 02, n/a, 1175318371, День воинской славы России. День разгрома советскими войсками немецко-фашистских войск в Сталинградской битве
223, 02_02_2007, 2007, 02, 02, n/a, 1175318371, День ЖОПЫ!
224, 02_02_2007, 2007, 02, 02, n/a, 1175318371, День ежа (Древний Рим)
225, 02_02_2007, 2007, 02, 02, n/a, 1175318371, День сурка (США и Канада)
226, 02_02_2007, 2007, 02, 02, n/a, 1175318371, Всемирный день водно-болотных угодий.
227, 02_02_2007, 2007, 02, 02, n/a, 1175318371, День молодёжи в Азербайджане
228, 02_02_2007, 2007, 02, 02, n/a, 1175318371, День воинской славы России — День разгрома советскими войсками немецко-фашистских войск в Сталинградской битве (1943 год)
229, 02_02_2007, 2007, 02, 02, n/a, 1175318371, День преподобного Евфимия Великого
230, 02_02_2007, 2007, 02, 02, n/a, 1175318371, Сретение Господне
231, 02_02_2007, 2007, 02, 02, n/a, 1175318371, Самое опустошительное по количеству человеческих жертв землетрясение за всю историю уносит 830 000 жизней. (Китай) (1556)
232, 02_02_2007, 2007, 02, 02, n/a, 1175318371, В Мюнхене впервые произошла операция по трансплантации нерва.
233, 02_02_2007, 2007, 02, 02, n/a, 1175318371, Вертолёт Ми-26 поднимает 10 т полезной нагрузки на высоту 6,4 км (1982)
234, 02_02_2007, 2007, 02, 02, n/a, 1175318371, Впервые женщины в Лихтенштейне участвуют в выборах (1986)
235, 02_02_2008, 2008, 02, 02, ncuxonycbka, 1486047295, День рождения Крок
236, 02_02_2009, 2009, 02, 02, antihome, 1233573755, В Тулу пришла долгожданная зима (2009)
